0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,labels
-333.45926,125.84551,-18.746845,45.997013,-4.7526584,19.621078,-24.528477,-3.3816755,-11.642353,-0.84058887,-11.910805,-2.987991,-1.5597839,-16.505135,10.678277,-14.308767,-5.5825105,-3.6487439,-0.86700565,-9.322705,-6.41728,-3.9765668,-9.117685,-2.1837277,-5.928943,3.3053627,-5.556088,-0.03360763,-2.5680695,-2.2193954,-0.971075,-2.3904796,0.17142348,-4.054202,-3.1270056,-6.7790895,-2.5305288,-4.777002,-2.2652965,-3.2568953,angry
-365.40643,136.15665,-25.31321,55.11717,-2.4108748,21.754911,-27.993177,7.9475846,-12.572077,-2.5368104,-9.391265,-5.8559837,1.0210809,-14.465546,7.4051237,-17.794365,-1.2906407,-5.2783012,-1.7555678,-9.588642,-7.844628,-1.4489439,-8.192496,-4.137411,-6.2459364,6.147254,-8.177525,-0.40671787,-1.8795793,-1.4268718,0.15062313,-2.408663,0.54986715,-3.9423633,-1.5283387,-8.364255,-1.1179594,-3.3074756,-0.60966825,-2.2738316,disgust
-312.47485,117.6287,-16.08032,35.36963,0.9650757,10.480415,-22.152071,-0.2308568,-8.430646,-3.6581314,-13.519966,-4.666401,-1.9299319,-13.079965,5.288561,-13.178359,-4.9606657,-5.0678864,-2.7502198,-9.111577,-8.220151,-5.201302,-7.0629816,-5.696408,-8.977991,-0.46727365,-8.523217,-2.9228811,-2.2613666,1.6093788,1.8712255,-1.3432822,2.1906261,2.1406195,2.8443615,-1.221664,0.32418132,-3.608169,0.11035376,-2.3900502,fear
-343.0223,124.052605,-18.814129,45.775803,3.0643415,11.891151,-27.975065,2.790105,-7.546871,-6.022808,-15.021056,-3.65249,-0.9294819,-17.89633,5.8096867,-14.164128,-5.77364,-4.838142,-2.735688,-9.291549,-5.7252226,-1.1986301,-5.854993,-2.0705047,-7.839694,1.3486564,-6.4360175,-3.6569328,-4.2881274,-2.0086694,-2.052215,-2.8878796,2.7869139,-0.51608014,1.6768268,-1.4999526,0.50042355,-2.2277997,1.615012,-0.14869913,happy
-364.39822,125.062386,-9.282014,39.946346,11.061362,12.806195,-15.383951,-4.7755127,-8.698131,-3.4828103,-9.107658,-0.9979061,-1.880345,-10.717339,7.540869,-12.311503,-7.8068748,-4.080358,-2.6827452,-5.2562523,-7.191701,-3.7483554,-3.269832,-4.7816653,-7.788579,3.5275323,-4.342963,-2.056458,0.19664648,-0.6903847,0.1091246,-4.312944,-0.9663754,-0.47967666,-1.5411689,-3.4333196,-0.939441,-3.4876602,-0.32223922,-0.2945154,neutral
-393.5536,135.41699,-22.023039,60.850315,2.6674602,24.769394,-27.467266,6.0861416,-10.99266,-1.0207249,-8.566911,-5.8994737,-0.79021746,-14.27228,7.8999486,-19.597803,-1.6950716,-5.0972385,-2.2374778,-5.2101865,-7.09882,-4.885494,-6.49714,-2.850467,-9.284611,4.8966255,-5.1293035,-0.005897303,-2.5458114,-0.3695399,-1.7377369,-3.7281127,2.3405724,-4.04259,0.09363883,-4.114644,-1.8199228,-3.6872206,0.4998301,-2.684182,sad
-309.0054,135.17271,-26.2138,31.046183,-24.898539,14.917584,-15.091673,-0.92322546,-10.47758,-2.9455245,-9.026804,4.0963173,-3.902594,-17.702131,9.172149,-20.056986,-3.7513096,-8.364939,-7.43492,-3.8207355,-5.93626,-4.053819,-6.2778206,-1.6523296,-6.7281275,2.2918806,-5.84899,0.13319527,-2.5176716,-0.5755136,0.92931646,-4.893943,-0.11138206,-4.4019995,-2.1647737,-3.7268217,-3.5766351,-4.8134623,1.0501832,-2.2888954,angry
-383.5949,144.31271,-12.655045,40.359684,-10.550964,16.448746,-10.199544,1.9389694,-9.203663,-2.5998478,-9.966139,0.32016477,-0.9811743,-16.349525,5.0724463,-19.206387,-0.5297575,-4.048685,-8.257473,-3.8931313,-6.2116156,-3.5091324,-8.154568,-1.9653356,-5.048553,0.74671483,-4.9685473,-0.46354914,-0.50889266,-0.68968403,-0.4085048,-3.4287024,0.96438587,-2.2929213,-0.5517839,-3.6077821,-1.0900142,-3.7261786,-1.7956669,-2.7232795,angry
-346.69235,151.5374,-25.927717,44.85115,-25.462812,19.311424,-15.22778,-1.0130566,-18.835924,-0.2845176,-9.212763,4.108877,-4.083698,-19.298317,11.623263,-22.44738,1.2517152,-7.1907315,-4.3047566,-3.7212594,-6.7126603,-2.2306411,-8.000919,-2.8267343,-6.005798,4.186903,-7.1852818,2.0382214,-2.2615328,-0.23186478,0.48154286,-5.4124265,1.6841186,-2.0948591,-1.3684766,-6.444411,-2.9229155,-5.5782356,-0.24702694,-3.349291,angry
-347.67078,135.11487,-23.820078,37.68517,-15.430153,11.965788,-11.226302,-0.8283332,-7.9552402,0.10474959,-8.293042,-1.509847,-2.70422,-13.813606,4.3773713,-18.825178,-0.3146554,-4.2472997,-7.040301,-6.968411,-7.3939734,-1.7375994,-7.410275,-1.1590472,-6.3664246,-0.56166697,-3.8457544,-1.5036043,-2.780021,-1.0917683,-1.28098,-2.9332395,2.563872,-3.3735418,0.24041529,-2.2467306,-0.8457395,0.32386342,0.7289732,-2.284113,disgust
